user_id,timestamp,dwell_mean,dwell_std,dwell_cv,flight_mean,flight_std,flight_cv,timing_entropy,total_duration,wpm,dg_th,dg_he,dg_qu,dg_br,dg_ow,dg_fo,dg_ju,dg_ov,dg_er,dg_la,dg_sp,tg_the,tg_bro,tg_own,tg_ove,tg_ver,kd_e,kd_o,kd_t,kd_h,kd_r,kd_u,kd_space,backspace_rate
user2,2026-02-27T22:42:42.445704,137.76,24.89,0.1807,309.02,178.63,0.5781,2.0709,13596.84,31.77,223.63,206.37,274.44,188.3,234.94,221.96,222.21,300.33,152.33,227.19,223.25,430.0,486.98,457.66,500.23,352.23,166.08,131.24,112.86,146.37,138.9,87.53,135.04,0.0278
user2,2026-02-27T22:43:00.852093,129.04,26.25,0.2034,298.23,172.63,0.5789,2.1036,12525.7,33.53,460.15,161.8,219.15,183.4,268.22,252.52,306.74,277.94,141.9,206.05,208.11,621.95,410.96,472.88,447.91,311.87,157.21,125.36,131.09,125.77,144.55,90.42,116.65,0.0
user2,2026-02-27T22:43:15.293638,130.15,28.21,0.2168,289.71,160.15,0.5528,1.9224,12167.67,34.52,231.95,215.09,304.86,249.17,282.84,209.84,190.68,334.65,255.16,206.83,216.38,447.04,525.07,451.28,454.61,375.11,161.26,120.41,90.22,155.44,144.78,93.48,114.6,0.0
user2,2026-02-27T22:43:46.162654,138.01,26.47,0.1918,336.18,226.94,0.6751,1.7424,14119.68,29.75,248.59,194.68,240.33,172.88,237.06,232.82,245.39,325.84,298.85,229.88,345.27,443.26,385.6,418.85,538.86,511.88,167.92,126.22,117.7,164.24,129.18,92.94,139.58,0.0
user2,2026-02-27T22:44:04.744822,138.58,32.17,0.2322,351.86,281.58,0.8003,1.2263,14778.33,28.42,329.27,260.88,290.43,220.78,247.93,147.11,222.99,284.91,618.04,272.12,258.1,590.14,496.55,494.7,467.59,800.71,149.92,122.53,126.53,166.08,134.18,91.16,135.96,0.0
user2,2026-02-27T22:44:20.229730,121.84,30.85,0.2532,302.86,157.51,0.5201,2.3448,13022.99,32.25,236.35,193.96,262.76,222.75,218.36,222.91,232.89,303.93,179.76,202.45,267.39,430.31,472.18,365.12,500.98,376.81,152.84,108.51,101.64,133.82,142.13,90.16,100.85,0.0
user2,2026-02-27T22:44:44.655946,129.43,28.97,0.2238,296.17,181.5,0.6128,1.8282,12439.19,33.76,228.1,174.22,457.68,259.57,226.94,192.95,241.16,282.41,148.64,281.13,208.96,402.32,601.94,435.7,457.36,323.59,156.5,124.96,96.17,126.61,128.76,97.33,116.61,0.0
user2,2026-02-27T22:45:07.370440,130.55,30.01,0.2298,300.74,191.64,0.6372,1.7244,13232.48,32.65,224.39,448.98,260.87,226.03,245.82,224.46,188.21,302.1,224.15,236.64,232.92,673.36,441.77,431.64,469.8,391.85,160.71,119.12,99.81,125.67,127.01,96.6,135.81,0.0278
user2,2026-02-27T22:45:24.959350,131.13,38.05,0.2901,304.4,138.24,0.4541,2.4524,12784.99,32.85,241.77,473.15,254.33,202.8,499.18,262.52,229.72,292.46,227.66,287.33,285.78,714.93,406.66,739.43,469.82,405.02,152.75,109.9,136.91,131.57,122.71,94.0,117.89,0.0
user2,2026-02-27T22:45:50.995594,138.22,43.51,0.3148,331.89,210.83,0.6352,1.8759,13939.36,30.13,209.91,408.33,309.58,159.15,276.75,217.86,1087.38,300.61,209.11,265.25,249.22,618.25,388.2,483.43,486.82,395.31,164.79,120.63,196.23,186.26,121.38,97.84,115.11,0.0
user2,2026-02-27T22:46:07.950727,136.2,33.36,0.245,331.0,175.48,0.5302,2.3542,13901.91,30.21,264.93,191.38,329.52,225.98,246.65,289.27,205.59,353.62,309.14,284.25,294.77,456.31,471.2,420.7,539.78,495.3,166.05,120.11,98.22,155.21,152.61,80.38,126.62,0.0
user2,2026-02-27T22:46:23.716909,136.83,29.63,0.2165,286.44,137.87,0.4813,2.2637,12030.33,34.91,169.12,468.46,297.4,222.49,231.08,275.6,206.84,282.64,262.63,293.73,244.04,637.58,407.25,355.68,436.02,416.01,153.19,120.31,125.7,160.6,144.93,83.43,139.85,0.0
user2,2026-02-27T22:46:56.215269,129.82,29.2,0.225,312.27,164.81,0.5278,2.3738,13115.16,32.02,227.57,398.37,262.86,277.21,228.78,247.02,191.04,308.49,151.48,288.09,234.14,625.95,680.39,375.24,505.15,348.13,154.85,109.29,82.52,101.98,120.08,87.01,139.2,0.0
